Year	CHY	Charity	CRO	Website	Cause	Category	OpenCorporates	B_Expended	B2_Charity	B1_GenFund	B3_Govern	Pct_B2	Pct_B1	Pct_B3	ExpBarChart	Size	A_Income	A1_Funds	A2_Activaties	A3_Other	A1a_Voluntary	A2a_Grant	Pct_A1	Pct_A2	Pct_A3	2013_Rpt	2013_FY	2013_Notes
2013	5745	Concern	39647	https://www.concern.net/	Development and Relief Services	International	https://opencorporates.com/companies/ie/39647	129034000	116631000	11688000	715000	90	9	1			127329000	40561000	85864000	904000			32	67	1	https://www.concern.net/sites/default/files/media/resource/concern_annualreport2013_web.pdf	year ended 31 December 2013	
	5883	Trocaire		http://www.trocaire.org/	Development and Relief Services	International																						
	6271	Goal	201698	http://www.goal.ie/	Development and Relief Services	International	https://opencorporates.com/companies/ie/201698																					
	6015	Barnardos	141526	http://www.barnardos.ie/	Children's and Family Services	Human Services	https://opencorporates.com/companies/ie/141526																					
	7220	Focus	106149	http://www.focusireland.ie/	Homeless Services	Human Services	https://opencorporates.com/companies/ie/106149																					
	6892	SVDP		http://www.svp.ie/	Social Services	Human Services																						
	6830	Hospice	114617	http://hospicefoundation.ie/			https://opencorporates.com/companies/ie/114617																					
	10583	Age Action	198571	http://www.ageaction.ie/			https://opencorporates.com/companies/ie/198571																					
	15437	Sightsavers		http://www.sightsavers.ie/																								
	5616	Unicef	371124	https://www.unicef.ie/	Development and Relief Services	International	https://opencorporates.com/companies/ie/371124																					
	5678	Gorta	28228	http://www.gorta.org/	Development and Relief Services	International	https://opencorporates.com/companies/ie/28228																					
	5102	Ispcc	15958	http://www.ispcc.ie/			https://opencorporates.com/companies/ie/15958																					
	5863	Irish Cancer Society	20868	http://www.cancer.ie/			https://opencorporates.com/companies/ie/20868																					
	4908	Enable Ireland		http://www.enableireland.ie/																								
	5393	Irish Wheelchair Association		http://www.iwa.ie/																								
	5988	Oxfam ROI		http://www.oxfamireland.org/																								
	10715	Barrettstown	194322	http://www.barretstown.org/			https://opencorporates.com/companies/ie/194322																					
	6663	Self-help Africa - Ireland	105601	http://www.selfhelpafrica.org/			https://opencorporates.com/companies/ie/105601																					
	15037	Plan Ireland	359578	http://plan.ie/			https://opencorporates.com/companies/ie/359578																					
	5365	The MS of Ireland		http://www.ms-society.ie/																								
	7556	Special Olympics Ireland	228545	http://www.specialolympics.ie/			https://opencorporates.com/companies/ie/228545																					
	3950	Irish red cross		http://www.redcross.ie/home/	Development and Relief Services	International																						
	6434	Worldvision	93645	http://www.worldvision.ie/	Diseases, Disorders, and Disciplines	Health	https://opencorporates.com/companies/ie/93645																					
	8703	Debra	141279	https://debraireland.org/	Patient and Family Support	Health	https://opencorporates.com/companies/ie/141279																					