hid,region,hgid,hgroup,code,hospital,lon,lat,Hospital,osm_wid,osmPage,wikiPage,bedCount,road,town,county,country,display_name
1,South West,5,South/South West Hospital Group,202,Bantry General Hospital,-9.45014,51.6762219,http://dbpedia.org/resource/Bantry_General_Hospital,177777682,http://www.openstreetmap.org/way/177777682?mlat=51.6762219&mlon=-9.45014#map=16/51.6762219/-9.45014,http://en.wikipedia.org/?curid=28364679,104,Hospital Road,Bantry,County Cork,Republic of Ireland,"Bantry General Hospital, Hospital Road, Bantry, County Cork, Munster, Republic of Ireland"
2,Dublin North East,4,RCSI Hospitals Group,37,Beaumont Hospital,-6.222199,53.3923659,"http://dbpedia.org/resource/Beaumont_Hospital,_Dublin",22634348,http://www.openstreetmap.org/way/22634348?mlat=53.3923659&mlon=-6.222199#map=16/53.3923659/-6.222199,http://en.wikipedia.org/?curid=6112359,820,Beaumont Hospital,,County Dublin,Republic of Ireland,"Beaumont Hospital, Kilmore Little, Beaumont B ED, Dublin, County Dublin, Leinster, Republic of Ireland"
3,Dublin East,2,Ireland East Hospital Group,11,Cappagh National Orthopaedic Hospital,-6.3249131,53.3923766,NA,42352117,http://www.openstreetmap.org/way/42352117?mlat=53.3923766&mlon=-6.3249131#map=16/53.3923766/-6.3249131,NA,NA,Ratoath Road,,County Dublin,Republic of Ireland,"Cappagh Hospital, Ratoath Road, Cappoge, Castleknock, Fingal, County Dublin, Leinster, Republic of Ireland"
4,Dublin North East,4,RCSI Hospitals Group,702,Cavan General Hospital,-7.37236,54.0010159,http://dbpedia.org/resource/Cavan_General_Hospital,152613437,http://www.openstreetmap.org/way/152613437?mlat=54.0010159&mlon=-7.37236#map=16/54.0010159/-7.37236,http://en.wikipedia.org/?curid=28302699,264,Farnham Road,,County Cavan,Republic of Ireland,"Cavan General Hospital, Farnham Road, Drumavanagh, Butlers Bridge, County Cavan, Ulster, Republic of Ireland"
5,Paediatrics,7,Children's Hospital Group,14,Childrens University Hospital Temple Street,-6.26157,53.3570939,NA,137349173,http://www.openstreetmap.org/way/137349173?mlat=53.3570939&mlon=-6.26157#map=16/53.3570939/-6.26157,NA,NA,Nerney's Court,,County Dublin,Republic of Ireland,"Temple Street Childrens University Hospital, Nerney's Court, Rotunda A ED, Dublin, County Dublin, Leinster, Republic of Ireland"
6,Dublin North East,4,RCSI Hospitals Group,22,Connolly Hospital,-6.36742,53.3891651,http://dbpedia.org/resource/Connolly_Hospital,12219521,http://www.openstreetmap.org/way/12219521?mlat=53.3891651&mlon=-6.36742#map=16/53.3891651/-6.36742,http://en.wikipedia.org/?curid=11189947,271,Erris Square,Blanchardstown,County Dublin,Republic of Ireland,"Connolly Hospital, Erris Square, Waterville, Sheephill, Blanchardstown-Abbotstown ED, Blanchardstown, Fingal, County Dublin, Leinster, Republic of Ireland"
7,South West,5,South/South West Hospital Group,235,Cork University Hospital,-8.51207,51.8833781,http://dbpedia.org/resource/Cork_University_Hospital,118618667,http://www.openstreetmap.org/way/118618667?mlat=51.8833781&mlon=-8.51207#map=16/51.8833781/-8.51207,http://en.wikipedia.org/?curid=27989367,1000,Labernum Park,,County Cork,Republic of Ireland,"Cork University Hospital, Labernum Park, Bishopstown, Cork, County Cork, Munster, Republic of Ireland"
8,North West,1,Saolta University Health Care Group,404,Galway University Hospital,-9.06685,53.2770613,http://dbpedia.org/resource/University_Hospital_Galway,26131060,http://www.openstreetmap.org/way/26131060?mlat=53.2770613&mlon=-9.06685#map=16/53.2770613/-9.06685,http://en.wikipedia.org/?curid=7862220,708,Newcastle Avenue,Galway Municipal District,County Galway,Republic of Ireland,"Galway University College Hospital, Newcastle Avenue, Townparks, Galway Municipal District, Cathair na Gaillimhe, County Galway, Connacht, Republic of Ireland"
9,South West,5,South/South West Hospital Group,236,Kerry General Hospital,-9.6876,52.2658252,http://dbpedia.org/resource/Kerry_General_Hospital,111471269,http://www.openstreetmap.org/way/111471269?mlat=52.2658252&mlon=-9.6876#map=16/52.2658252/-9.6876,http://en.wikipedia.org/?curid=37859862,377,Marian Park,Tralee,County Kerry,Republic of Ireland,"Kerry General Hospital, Marian Park, Cloon More, Tralee, County Kerry, Munster, Republic of Ireland"
10,North West,1,Saolta University Health Care Group,601,Letterkenny General Hospital,-7.73483,54.9601244,http://dbpedia.org/resource/Letterkenny_General_Hospital,353439545,http://www.openstreetmap.org/way/353439545?mlat=54.9601244&mlon=-7.73483#map=16/54.9601244/-7.73483,http://en.wikipedia.org/?curid=7880177,NA,Mortuary Chapel and Car Park,,County Donegal,Republic of Ireland,"Letterkenny General Hospital, Mortuary Chapel and Car Park, Windhall, County Donegal, Republic of Ireland"
11,South West,5,South/South West Hospital Group,104,Lourdes Orthopaedic Hospital Kilcreene,-7.27489,52.6524252,http://dbpedia.org/resource/Lourdes_Orthopaedic_Hospital,154858816,http://www.openstreetmap.org/way/154858816?mlat=52.6524252&mlon=-7.27489#map=16/52.6524252/-7.27489,http://en.wikipedia.org/?curid=28732621,51,Ballycallan Road,Kilkenny,County Kilkenny,Republic of Ireland,"Kilcreene Hospital, Ballycallan Road, Kilkenny, County Kilkenny, Leinster, Republic of Ireland"
12,Dublin North East,4,RCSI Hospitals Group,703,Louth County Hospital,-6.40043,53.9879808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,South West,5,South/South West Hospital Group,207,Mallow General Hospital,-8.66377,52.15165,http://dbpedia.org/resource/Mallow_General_Hospital,177571700,http://www.openstreetmap.org/way/177571700?mlat=52.15165&mlon=-8.66377#map=16/52.15165/-8.66377,http://en.wikipedia.org/?curid=28310810,81,L1200,,County Cork,Republic of Ireland,"Mallow County Hospital, L1200, Cork, County Cork, Munster, Republic of Ireland"
14,Dublin East,2,Ireland East Hospital Group,5,Mater Misericordiae University Hospital,-6.26706,53.3595011,http://dbpedia.org/resource/Mater_Misericordiae_University_Hospital,33005181,http://www.openstreetmap.org/way/33005181?mlat=53.3595011&mlon=-6.26706#map=16/53.3595011/-6.26706,http://en.wikipedia.org/?curid=1687481,NA,North Circular Road,,County Dublin,Republic of Ireland,"Mater Misericordiae University Hospital, North Circular Road, Inns Quay A ED, Dublin, County Dublin, Leinster, Republic of Ireland"
15,North West,1,Saolta University Health Care Group,405,Mayo General Hospital,-9.30332,53.8519319,http://dbpedia.org/resource/Mayo_General_Hospital,179377994,http://www.openstreetmap.org/way/179377994?mlat=53.8519319&mlon=-9.30332#map=16/53.8519319/-9.30332,http://en.wikipedia.org/?curid=6273544,332,Old Westport Road,Castlebar,County Mayo,Republic of Ireland,"Mayo General Hospital, Old Westport Road, Castlebar, County Mayo, Connacht, Republic of Ireland"
16,South West,5,South/South West Hospital Group,203,Mercy University Hospital,-8.48233,51.8989341,NA,353427032,http://www.openstreetmap.org/way/353427032?mlat=51.8989341&mlon=-8.48233#map=16/51.8989341/-8.48233,NA,NA,Henry Street,,County Cork,Republic of Ireland,"Mercy University Hospital, Henry Street, Shandon, Cork, County Cork, Munster, Republic of Ireland"
17,Dublin East,2,Ireland East Hospital Group,503,Midland Regional Hospital Mullingar,-7.34904,53.5344207,"http://dbpedia.org/resource/Midland_Regional_Hospital,_Mullingar",176503889,http://www.openstreetmap.org/way/176503889?mlat=53.5344207&mlon=-7.34904#map=16/53.5344207/-7.34904,http://en.wikipedia.org/?curid=27989820,211,NA,NA,NA,NA,NA
18,Midlands,3,Dublin Midlands Hospital Group,506,Midland Regional Hospital Portlaoise,-7.27536,53.0375537,"http://dbpedia.org/resource/Midland_Regional_Hospital,_Portlaoise",223248196,http://www.openstreetmap.org/way/223248196?mlat=53.0375537&mlon=-7.27536#map=16/53.0375537/-7.27536,http://en.wikipedia.org/?curid=27986777,200,Dublin Road,Port Laoise,County Laois,Republic of Ireland,"Midland Regional Hospital Portlaoise, Dublin Road, Portlaoise Rural ED, Port Laoise, County Laois, Leinster, Republic of Ireland"
19,Midlands,3,Dublin Midlands Hospital Group,501,Midland Regional Hospital Tullamore,-7.48884,53.2829733,"http://dbpedia.org/resource/Midland_Regional_Hospital,_Tullamore",56968562,http://www.openstreetmap.org/way/56968562?mlat=53.2829733&mlon=-7.48884#map=16/53.2829733/-7.48884,http://en.wikipedia.org/?curid=27989807,254,Arden Vale,Tullamore,County Offaly,Republic of Ireland,"Midland Regional Hospital at Tullamore, Arden Vale, Puttaghaun, Tullamore Urban ED, Tullamore, County Offaly, Leinster, Republic of Ireland"
21,Midwest,6,University of Limerick Hospital Group,307,Ennis Hospital,-8.98328,52.85109,"http://dbpedia.org/resource/Mid-Western_Regional_Hospital,_Ennis
",NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Midwest,6,University of Limerick Hospital Group,308,Nenagh Hospital,-8.191,52.8577881,"http://dbpedia.org/resource/Mid-Western_Regional_Hospital,_Nenagh",36393501,http://www.openstreetmap.org/way/36393501?mlat=52.8577881&mlon=-8.191#map=16/52.8577881/-8.191,http://en.wikipedia.org/?curid=22057342,70,Thurles Road,Nenagh,County Tipperary,Republic of Ireland,"Nenagh General Hospital, Thurles Road, Nenagh, County Tipperary, Munster, Republic of Ireland"
23,Midwest,6,University of Limerick Hospital Group,304,Croom Orthopaedic Hospital,-8.71139,52.527117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Midlands,3,Dublin Midlands Hospital Group,4,Naas General Hospital,-6.66089,53.211388,NA,91506380,http://www.openstreetmap.org/way/91506380?mlat=53.211388&mlon=-6.66089#map=16/53.211388/-6.66089,NA,NA,NA,NA,NA,NA,NA
25,Dublin North East,4,RCSI Hospitals Group,701,Our Lady of Lourdes Hospital Drogheda,-6.35392,53.7221584,"http://dbpedia.org/resource/Our_Lady_of_Lourdes_Hospital,_Drogheda",NA,NA,http://en.wikipedia.org/?curid=28713435,340,NA,NA,NA,NA,NA
26,Paediatrics,7,Children's Hospital Group,1,Our Lady's Children's Hospital Crumlin,-6.31889,53.3261478,NA,32063615,http://www.openstreetmap.org/way/32063615?mlat=53.3261478&mlon=-6.31889#map=16/53.3261478/-6.31889,NA,NA,Errigal Gardens,,County Dublin,Republic of Ireland,"Our Lady's Children's Hospital Crumlin, Errigal Gardens, Crumlin, Crumlin F ED, Dublin, County Dublin, Leinster, Republic of Ireland"
27,Dublin East,2,Ireland East Hospital Group,705,Our Lady's Hospital Navan,-6.69748,53.6502026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,North West,1,Saolta University Health Care Group,403,Portiuncla Hospital,-8.23557,53.3271067,http://dbpedia.org/page/Portiuncula_Hospital,183750993,http://www.openstreetmap.org/way/183750993?mlat=53.3271067&mlon=-8.23557#map=16/53.3271067/-8.23557,NA,NA,R446,Ballinasloe,County Galway,Republic of Ireland,"Portiuncula Hospital, R446, Ballinasloe Urban ED, Ballinasloe, County Galway, Connacht, Republic of Ireland"
29,North West,1,Saolta University Health Care Group,401,Roscommon County Hospital,-8.17541,53.6245107,http://dbpedia.org/resource/Roscommon_County_Hospital,196744297,http://www.openstreetmap.org/way/196744297?mlat=53.6245107&mlon=-8.17541#map=16/53.6245107/-8.17541,http://en.wikipedia.org/?curid=35738546,115,N61,Roscommon,County Roscommon,Republic of Ireland,"Roscommon Hospital, N61, Roscommon, County Roscommon, Connacht, Republic of Ireland"
30,Dublin East,2,Ireland East Hospital Group,24,Royal Victoria Eye and Ear Hospital,-6.2557,53.3328326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,North West,1,Saolta University Health Care Group,602,Sligo General Hospital,-8.464,54.2750308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,South West,5,South/South West Hospital Group,206,South Infirmary Victoria University Hospital,-8.46417,51.8935797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,South West,5,South/South West Hospital Group,105,South Tipperary General Hospital,-7.71574,52.355711,http://dbpedia.org/resource/South_Tipperary_General_Hospital,NA,NA,http://en.wikipedia.org/?curid=28290620,255,NA,NA,NA,NA,NA
34,Dublin East,2,Ireland East Hospital Group,3,St. Columcille's Hospital,-6.1329,53.242361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Midlands,3,Dublin Midlands Hospital Group,21,St. James's Hospital,-6.29577,53.3401298,http://dbpedia.org/page/St._James60s_Hospital,32015912,http://www.openstreetmap.org/way/32015912?mlat=53.3401298&mlon=-6.29577#map=16/53.3401298/-6.29577,NA,NA,Set Down Only,,County Dublin,Republic of Ireland,"St. James's Hospital, Set Down Only, Ushers F ED, Dublin, County Dublin, Leinster, Republic of Ireland"
36,Midwest,6,University of Limerick Hospital Group,305,St. John's Hospital Limerick,-8.6168,52.6633523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Dublin East,2,Ireland East Hospital Group,101,St. Luke's General Hospital Kilkenny,-7.26285,52.6664671,NA,120235458,http://www.openstreetmap.org/way/120235458?mlat=52.6664671&mlon=-7.26285#map=16/52.6664671/-7.26285,NA,NA,Freshford Road,Kilkenny,County Kilkenny,Republic of Ireland,"Saint Luke's Hospital, Freshford Road, Talbotsinch, Kilkenny, County Kilkenny, Leinster, Republic of Ireland"
38,Dublin East,2,Ireland East Hospital Group,7,St. Vincent's University Hospital Elm Park,-6.21262,53.3168507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Midlands,3,Dublin Midlands Hospital Group,41,Tallaght Hospital,-6.37887,53.2911892,http://dbpedia.org/resource/Tallaght_Hospital,51231573,http://www.openstreetmap.org/way/51231573?mlat=53.2911892&mlon=-6.37887#map=16/53.2911892/-6.37887,http://en.wikipedia.org/?curid=16597959,600,Cookstown Way,Tallaght,County Dublin,Republic of Ireland,"Tallaght Hospital, Cookstown Way, Cookstown, Tallaght-Springfield ED, Tallaght, South Dublin, County Dublin, Leinster, Republic of Ireland"
40,South West,5,South/South West Hospital Group,100,University Hospital Waterford,-7.07887,52.2489542,http://dbpedia.org/resource/University_Hospital_Waterford,32152329,http://www.openstreetmap.org/way/32152329?mlat=52.2489542&mlon=-7.07887#map=16/52.2489542/-7.07887,http://en.wikipedia.org/?curid=28690307,545,Nursery Road,,County Waterford,Republic of Ireland,"University Hospital Waterford, Nursery Road, Waterford, County Waterford, Munster, Republic of Ireland"
41,Dublin East,2,Ireland East Hospital Group,103,Wexford General Hospital,-6.48187,52.3431683,NA,353438490,http://www.openstreetmap.org/way/353438490?mlat=52.3431683&mlon=-6.48187#map=16/52.3431683/-6.48187,NA,NA,Newtown Road,Wexford,County Wexford,Republic of Ireland,"Wexford General Hospital, Newtown Road, Wexford, County Wexford, Leinster, Republic of Ireland"
42,Midwest,6,University of Limerick Hospital Group,NA,University Hospital Limerick,-8.6529512,52.6362418,NA,45766917,http://www.openstreetmap.org/way/45766917?mlat=52.6362418&mlon=-8.6529512#map=16/52.6362418/-8.6529512,NA,NA,Carrig Drive,,County Limerick,Republic of Ireland,"University Hospital Limerick, Carrig Drive, Limerick, County Limerick, Munster, Republic of Ireland"
43,Dublin East,NA,NA,23,St. Michael's Dun Laoghaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,26,"National Rehabilitation Hospital, (NHR), Dun Laoghaire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,27,"St. Joseph's Unit, Harold's Cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,28,"Our Lady's Hospice, Harold's Cross, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,35,"Cherry Orchard Hospital, Ballyfermot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,38,"Coombe Women's Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,39,"Rotunda Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,40,"National Maternity Hospital, Holles St, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,44,"St Joseph Hospital, Raheny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,47,"Incorporated Orthopaedic Hospital, Clontarf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,48,Blackrock Hospice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,90,St Luke's Centre at St James,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,91,St Luke's Centre at Beaumont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,200,"St. Finbarr's Hospital, Cork",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,208,"St. Mary's Orthopaedic Hospital, Gurrenabraher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,302,Midwestern Regional Maternity Hospital Limerick,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,303,"Midwestern Regional Hospital, Dooradoyle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,406,Ballina District Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,704,Monaghan General Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,NA,NA,9,"Peamount Hospital, Newcastle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,NA,NA,NA,15,"St. Luke's & St. Anne's Hospital, Dublin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA